user_id,skills,education,current_role,experience_years,company_comment,target_role
001,"Pandas, SQL, Deep Learning, R, Data Cleaning",BSc CS,Business Analyst,2,Strong analytical and problem-solving skills,Data Scientist
002,"Data Cleaning, R, Pandas, Python, Deep Learning",MSc CS,Data Analyst,3,Highly self-driven and adapts quickly,Data Scientist
003,"Python, Data Cleaning, Pandas, SQL, R",BSc CS,Business Analyst,2,Creative and detail-oriented,Data Scientist
004,"Data Cleaning, Machine Learning, Python, R, Deep Learning",BTech Computer,Junior Data Scientist,4,Good collaboration and communication skills,Data Scientist
005,"Statistics, Pandas, Machine Learning, Python, Deep Learning",MSc Data Science,Junior Data Scientist,2,Creative and detail-oriented,Data Scientist
006,"Statistics, Deep Learning, Pandas, Machine Learning, R",MSc CS,Business Analyst,1,Shows leadership potential,Data Scientist
007,"Data Cleaning, R, Deep Learning, Python, Pandas",MSc Data Science,Junior Data Scientist,6,Excellent technical understanding and quick learner,Data Scientist
008,"Machine Learning, Deep Learning, Data Cleaning, Python, SQL",BTech Computer,Junior Data Scientist,2,Creative and detail-oriented,Data Scientist
009,"SQL, Deep Learning, Data Cleaning, Pandas, Python",BSc CS,Business Analyst,3,Creative and detail-oriented,Data Scientist
010,"Python, Deep Learning, Pandas, Statistics, R",MSc Data Science,Junior Data Scientist,2,Good collaboration and communication skills,Data Scientist
011,"R, Deep Learning, Pandas, Statistics, SQL",BTech Computer,Data Analyst,4,Good collaboration and communication skills,Data Scientist
012,"Deep Learning, Python, R, Machine Learning, Pandas",BTech Computer,Junior Data Scientist,4,Strong in development and version control,Data Scientist
013,"R, Deep Learning, Pandas, Python, Statistics",BSc CS,Junior Data Scientist,1,Strong analytical and problem-solving skills,Data Scientist
014,"Statistics, R, Machine Learning, Pandas, Data Cleaning",BTech Computer,Data Analyst,3,Strong in development and version control,Data Scientist
015,"Machine Learning, Deep Learning, Data Cleaning, SQL, R",BTech Computer,Business Analyst,1,Good collaboration and communication skills,Data Scientist
016,"R, Data Cleaning, Deep Learning, Machine Learning, Statistics",MSc Data Science,Business Analyst,5,Creative and detail-oriented,Data Scientist
017,"Deep Learning, SQL, Statistics, Python, Data Cleaning",BTech Computer,Junior Data Scientist,4,Good collaboration and communication skills,Data Scientist
